"","SubArea","FY2019","FY2018","Change","Currency"
"1","Global Technology Services external revenue",27361,29146,"(6.1)%","(3.7)"
"2","Infrastructure & Cloud Services",20736,22185,"(6.5)%","(4.1)"
"3","Technology Support Services",6625,6961,"(4.8)","(2.2)"
